"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3151","DGKELBDO_05438",3.5738,14.6488583333333,31.727400869407,5.04409292552479e-12,1.65042720523171e-08,18.0378406859592
"1061","DGKELBDO_01877",1.80653333333333,17.2859833333333,27.3513481070826,2.46676638299051e-11,2.3094492617762e-08,16.5931787185728
"488","DGKELBDO_00896",2.68856666666667,19.8012166666667,27.0843448717713,2.73908690288014e-11,2.3094492617762e-08,16.4955072726659
"3193","DGKELBDO_05506",2.9439,17.896525,27.0076183474506,2.82328760608337e-11,2.3094492617762e-08,16.4672163190118
"2470","DGKELBDO_04134",1.79923333333333,19.477225,25.1974921665638,5.91543935904616e-11,3.62603758728733e-08,15.7693128535107
"758","DGKELBDO_01350",2.05593333333334,16.2908583333333,24.9223256285373,6.64921317962225e-11,3.62603758728733e-08,15.6578393429735
"2527","DGKELBDO_04234",3.62456666666666,15.7057,24.3560251630285,8.49208838624789e-11,3.96944474282901e-08,15.4236665244642
"1429","DGKELBDO_02537",2.08633333333333,15.4468666666667,23.8293206577461,1.07151059390723e-10,4.06822879594703e-08,15.1999247625216
"1543","DGKELBDO_02696",-3.33363333333333,14.4444666666667,-23.7322896151228,1.11901158812724e-10,4.06822879594703e-08,15.15806310717
"587","DGKELBDO_01050",1.78143333333333,15.6850916666667,22.5885470134121,1.89087519597921e-10,5.73659598557418e-08,14.6488488481085
"1545","DGKELBDO_02698",-2.9029,16.7056416666667,-22.4008024377915,2.06594408009613e-10,5.73659598557418e-08,14.5623790283773
"630","DGKELBDO_01105",2.40613333333333,14.0055166666667,22.3624022773473,2.10388605827904e-10,5.73659598557418e-08,14.5445892539415
"1541","DGKELBDO_02694",-1.66043333333333,18.9561166666667,-20.9982060030029,4.09829972604445e-10,1.03151051566288e-07,13.8887314512958
"2333","DGKELBDO_03933",1.74403333333334,15.2807833333333,20.7205244472822,4.71789967060921e-10,1.10264055158809e-07,13.7492793282375
"2676","DGKELBDO_04512",1.47356666666667,15.4091833333333,20.558536075755,5.12602393612645e-10,1.11815668793372e-07,13.6669512758869
"3083","DGKELBDO_05275",3.28946666666667,12.561775,19.7521267668064,7.82133791257967e-10,1.59946360312254e-07,13.2460021556286
"819","DGKELBDO_01440",1.1544,15.2315583333333,19.2400384128372,1.03167450910535e-09,1.98566999634866e-07,12.9686660457633
"2673","DGKELBDO_04508",1.72036666666667,16.930575,18.8999327714177,1.2448113381981e-09,2.25269310050836e-07,12.7799532398089
"2675","DGKELBDO_04511",1.11656666666667,17.2842333333333,18.8110710276512,1.30810418428053e-09,2.25269310050836e-07,12.7300355597325
"2507","DGKELBDO_04209",-1.51093333333333,18.6684833333333,-18.4451394937175,1.60828876110824e-09,2.60262247653254e-07,12.5217401375834
"2012","DGKELBDO_03411",1.8225,14.9362083333333,18.3787683109109,1.67038728628311e-09,2.60262247653254e-07,12.4834811565201
"3096","DGKELBDO_05301",1.78533333333334,15.178075,17.5734437232717,2.67324084922612e-09,3.93702606409413e-07,12.0070698483175
"1","DGKELBDO_00003",1.3344,18.3056583333333,17.5154467114388,2.76746942158206e-09,3.93702606409413e-07,11.9718645616229
"2275","DGKELBDO_03821",1.9936,16.5949166666667,16.9523830869842,3.8959982189007e-09,5.3115395252133e-07,11.6235239563202
"2418","DGKELBDO_04059",-1.0514,16.19815,-16.866163849051,4.10931378114871e-09,5.3115395252133e-07,11.5691108889522
"839","DGKELBDO_01504",4.65996666666667,14.3489666666667,16.8058868000211,4.2659898879844e-09,5.3115395252133e-07,11.530896634973
"1209","DGKELBDO_02099",1.1443,16.9923166666667,16.7624244646582,4.38299410699142e-09,5.3115395252133e-07,11.5032534508069
