"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1429","DGKELBDO_02537",2.7294,15.4468666666667,31.1741881146759,6.08978364577108e-12,1.9925772088963e-08,17.1747803151716
"1","DGKELBDO_00003",1.63889999999999,18.3056583333333,21.5123393400607,3.17253286460112e-10,5.19026376648743e-07,13.9280511682994
"2012","DGKELBDO_03411",2.01226666666667,14.9362083333333,20.2924460062746,5.88247974460586e-10,6.41582457478346e-07,13.3730620308342
"1177","DGKELBDO_02045",-1.07183333333333,16.7934833333333,-18.2661271475324,1.78184163982026e-09,1.1793795614304e-06,12.3509728678556
"238","DGKELBDO_00358",1.81953333333334,18.7929083333333,18.2463535022268,1.80223038115893e-09,1.1793795614304e-06,12.3403199314639
"2008","DGKELBDO_03406",2.79563333333333,13.4964333333333,17.590378660444,2.64639004844221e-09,1.44316470641715e-06,11.9788354601329
"2507","DGKELBDO_04209",-1.39706666666667,18.6684833333333,-17.0550804460971,3.65751955275292e-09,1.70962913951537e-06,11.6717637054437
"1541","DGKELBDO_02694",-1.30943333333333,18.9561166666667,-16.5593826193155,4.97790674597582e-09,2.03596385910411e-06,11.3771741711088
"3268","DGKELBDO_05609",3.5087,16.6499333333333,16.2456926693824,6.07710665954944e-09,2.20936588778286e-06,11.1854338154464
"313","DGKELBDO_00609",-1.1302,15.0217166666667,-14.8384066636866,1.55781031772817e-08,4.68181380606055e-06,10.2704860815007
"1705","DGKELBDO_02926",-0.983766666666668,15.7322666666667,-14.8236288806266,1.57395940912793e-08,4.68181380606055e-06,10.2603733655254
"337","DGKELBDO_00635",-0.899100000000001,17.175375,-14.5352444806611,1.92852339312013e-08,5.25844045190756e-06,10.060793947435
"350","DGKELBDO_00656",-1.22473333333333,15.4384833333333,-14.1340130454426,2.57436166972708e-08,6.0465816161359e-06,9.77586562781837
"344","DGKELBDO_00650",-1.2127,15.2484666666667,-14.1272086898465,2.58716817316328e-08,6.0465816161359e-06,9.77095895200877
"816","DGKELBDO_01437",-0.979533333333331,15.282125,-13.5797242926297,3.88486050758444e-08,8.05433846375801e-06,9.3677030631635
"363","DGKELBDO_00679",-1.0597,17.2558,-13.5615769781624,3.93855181601858e-08,8.05433846375801e-06,9.35404397371655
"249","DGKELBDO_00374",0.593166666666665,16.563475,13.2577723835499,4.96831423822606e-08,9.17929076826857e-06,9.12249543033642
"1734","DGKELBDO_02963",1.86633333333333,13.9586916666667,13.2367412872259,5.04973208523332e-08,9.17929076826857e-06,9.1062623603021
"605","DGKELBDO_01073",1.5393,18.6033083333333,13.0498818707492,5.84026728293801e-08,9.58195339007953e-06,8.96084989348499
"2275","DGKELBDO_03821",1.52753333333334,16.5949166666667,12.989230660516,6.12502710350692e-08,9.58195339007953e-06,8.91318957508427
"1457","DGKELBDO_02570",0.684033333333332,18.5153833333333,12.972972937864,6.20389839877957e-08,9.58195339007953e-06,8.90037521058833
"1428","DGKELBDO_02536",4.198,13.949025,12.9250987178654,6.44263369748624e-08,9.58195339007953e-06,8.86254471297442
"1932","DGKELBDO_03282",3.1943,18.4599416666667,12.841399655109,6.88436080790674e-08,9.79375154933516e-06,8.79605900443651
"1352","DGKELBDO_02379",1.0697,19.4972333333333,12.6666786008172,7.91633069168581e-08,1.0792597509665e-05,8.65583382520196
"2793","DGKELBDO_04798",2.01953333333333,16.6777583333333,12.5984847878899,8.36374319405064e-08,1.09464670923735e-05,8.60056971536897
"329","DGKELBDO_00626",-1.11136666666667,17.326925,-12.2769864588293,1.08773943131903e-07,1.36887823818302e-05,8.33589610579726
"341","DGKELBDO_00644",-0.924933333333334,16.2076166666667,-12.1563064127372,1.20238010638821e-07,1.45710655855638e-05,8.23474948770512
"386","DGKELBDO_00723",-0.9145,16.8866833333333,-11.9890333740076,1.38353113223225e-07,1.61675495166568e-05,8.09288894018351
"1543","DGKELBDO_02696",-1.66576666666667,14.4444666666667,-11.8586698090825,1.54526855459969e-07,1.74348921056903e-05,7.98096801901571
"366","DGKELBDO_00682",-0.898800000000003,15.4800416666667,-11.8017236130762,1.62226694028067e-07,1.76935247619945e-05,7.93169798284376
"2798","DGKELBDO_04806",0.883700000000001,17.2604,11.527135673453,2.0568777053599e-07,2.10600880607234e-05,7.69081696724216
"1846","DGKELBDO_03157",1.11063333333333,15.9865666666667,11.5063777681569,2.09453374547403e-07,2.10600880607234e-05,7.67238121060857
"300","DGKELBDO_00579",-0.857599999999996,15.5050916666667,-11.4903984610646,2.12403088631991e-07,2.10600880607234e-05,7.65816755818867
"2333","DGKELBDO_03933",0.953900000000003,15.2807833333333,11.333102351023,2.43970487718031e-07,2.31169961449953e-05,7.51722597185345
"1270","DGKELBDO_02238",-0.774433333333333,14.8373166666667,-11.3179130001306,2.47278381746588e-07,2.31169961449953e-05,7.50351647958675
"1209","DGKELBDO_02099",0.76196666666667,16.9923166666667,11.1617658783426,2.84253246554939e-07,2.58354617424378e-05,7.36155292994594
"347","DGKELBDO_00653",-0.75886666666667,16.5632833333333,-11.1241348536445,2.9403465021289e-07,2.60021993377453e-05,7.32705702681929
"377","DGKELBDO_00701",-1.06106666666667,16.1509083333333,-11.0664591660403,3.09742276774509e-07,2.61473997709145e-05,7.27397074717052
"518","DGKELBDO_00945",3.67976666666667,12.6417666666667,11.0596389607319,3.1165910484892e-07,2.61473997709145e-05,7.26767590954116
"2562","DGKELBDO_04305",0.913333333333334,17.53185,10.9010104275357,3.60078271053335e-07,2.94544025721628e-05,7.12022257407809
"831","DGKELBDO_01475",-0.916633333333335,16.5258666666667,-10.6945352812973,4.3571123314734e-07,3.47718818258072e-05,6.92524607870244
"318","DGKELBDO_00614",-1.12063333333333,13.7864666666667,-10.6450265578176,4.56302803447124e-07,3.55481612590236e-05,6.87797302987896
"1545","DGKELBDO_02698",-1.36166666666667,16.7056416666667,-10.5075703558945,5.19212935677832e-07,3.86717121132615e-05,6.74564845102364
"2489","DGKELBDO_04170",1.23313333333333,14.7800333333333,10.4938911708294,5.2597026600773e-07,3.86717121132615e-05,6.73239267583282
"383","DGKELBDO_00709",-0.735466666666669,16.2163916666667,-10.4716481314419,5.37162471256963e-07,3.86717121132615e-05,6.71080413949458
"2269","DGKELBDO_03812",1.12223333333333,13.9879916666667,10.4589388568319,5.43673214306243e-07,3.86717121132615e-05,6.69844990364954
"607","DGKELBDO_01075",1.10693333333333,20.02555,10.3911666424656,5.79867742112791e-07,4.03686649402777e-05,6.63233743077894
"374","DGKELBDO_00698",-1.1217,16.517825,-10.2183900984805,6.84513141502311e-07,4.66609791457408e-05,6.46199327863574
"3142","DGKELBDO_05411",3.11283333333334,13.2085583333333,10.1442711398898,7.35531735791112e-07,4.91155069287453e-05,6.38811482077683
"2015","DGKELBDO_03414",2.5451,15.8796916666667,10.0510903366702,8.05597914090766e-07,5.24321175548016e-05,6.29454215499135
"372","DGKELBDO_00692",-0.803133333333331,17.3072416666667,-10.0186061868459,8.31697519344157e-07,5.24321175548016e-05,6.26173802322786
"349","DGKELBDO_00655",-0.680266666666665,16.5488416666667,-10.0166804617161,8.33273261873376e-07,5.24321175548016e-05,6.25979033569945
"373","DGKELBDO_00696",-0.747933333333336,14.6722666666667,-9.96760128617406,8.74544579360151e-07,5.31164175580318e-05,6.21003793580399
"2145","DGKELBDO_03602",-0.971233333333331,18.4314,-9.96520485056961,8.76615693194901e-07,5.31164175580318e-05,6.20760302241278
"2357","DGKELBDO_03970",0.633599999999999,15.5334166666667,9.88796807756389,9.46297043852234e-07,5.62960714088092e-05,6.12884504552214
"1287","DGKELBDO_02276",1.08636666666667,15.2702916666667,9.79577470255921,1.03742589293207e-06,6.06153128870311e-05,6.03411669267972
"1138","DGKELBDO_01987",0.47343333333334,16.4542416666667,9.76582121328785,1.0690452111635e-06,6.13669461566133e-05,6.00316966328708
"2982","DGKELBDO_05111",1.25596666666667,13.6079583333333,9.70686495707011,1.13437190419426e-06,6.39942219055799e-05,5.94201247281909
"1534","DGKELBDO_02680",0.770699999999998,18.2314166666667,9.62283513355186,1.23506631741103e-06,6.84938472977778e-05,5.85427893125958
"3193","DGKELBDO_05506",1.04533333333333,17.896525,9.58998733399059,1.27702467484074e-06,6.90561466298744e-05,5.81980083515577
"1235","DGKELBDO_02141",-1.73196666666666,13.7301333333333,-9.58203278530828,1.28741593655939e-06,6.90561466298744e-05,5.81143597557512
"2470","DGKELBDO_04134",0.681533333333341,19.477225,9.54458241172296,1.33758383885312e-06,7.04550597565414e-05,5.77197229164171
"1581","DGKELBDO_02745",1.74303333333334,18.8629,9.53081050470599,1.35656135839306e-06,7.04550597565414e-05,5.75742609675548
"2673","DGKELBDO_04508",0.86213333333334,16.930575,9.47138906822093,1.44185095257666e-06,7.37146299504818e-05,5.69445371858522
"2664","DGKELBDO_04491",-1.022,17.3874416666667,-9.43231643202708,1.50108655903645e-06,7.5562388017958e-05,5.65285930512497
"192","DGKELBDO_00295",2.4314,14.1636583333333,9.3395948132978,1.6524671581347e-06,8.09849941127486e-05,5.55355505870294
"1476","DGKELBDO_02599",0.795766666666665,17.71935,9.32137799719932,1.68410721001573e-06,8.09849941127486e-05,5.53394537103924
"488","DGKELBDO_00896",0.924833333333332,19.8012166666667,9.31667615293519,1.69237967337693e-06,8.09849941127486e-05,5.52887868266315
"1479","DGKELBDO_02603",1.47046666666667,14.9823833333333,9.30768127071279,1.70832812424747e-06,8.09849941127486e-05,5.51917972309452
"142","DGKELBDO_00216",0.654266666666665,17.2773916666667,9.29418478092536,1.73256405497934e-06,8.09849941127486e-05,5.50461171671825
"370","DGKELBDO_00690",-0.814433333333334,16.1905916666667,-9.23705448172984,1.83935361935328e-06,8.43627795063599e-05,5.44274464333033
"336","DGKELBDO_00634",-0.93043333333333,18.1277,-9.22827127726727,1.85639368106904e-06,8.43627795063599e-05,5.4332042579231
"319","DGKELBDO_00615",-0.880633333333334,14.4565333333333,-9.19813044642493,1.91618014630822e-06,8.48467432094306e-05,5.40040613843841
"839","DGKELBDO_01504",2.5501,14.3489666666667,9.19678079143635,1.91890556158248e-06,8.48467432094306e-05,5.39893535661337
"2658","DGKELBDO_04448",0.882333333333332,16.5559083333333,9.1578876331638,1.9992739371051e-06,8.6881063483898e-05,5.35647269648926
"1061","DGKELBDO_01877",0.604266666666664,17.2859833333333,9.14874231465773,2.01869579429815e-06,8.6881063483898e-05,5.34646583142413
"1234","DGKELBDO_02140",-1.15186666666667,13.986125,-9.12564961246684,2.068651880673e-06,8.6881063483898e-05,5.32115988898761
"1232","DGKELBDO_02135",-2.8276,13.152975,-9.1245218324201,2.07112559649879e-06,8.6881063483898e-05,5.31992263319085
"354","DGKELBDO_00665",-0.854466666666667,16.8021583333333,-9.01970914561554,2.31560895856141e-06,9.55552887177419e-05,5.20436834303938
"1728","DGKELBDO_02953",0.706099999999999,19.2189666666667,9.01138781862101,2.33631512757315e-06,9.55552887177419e-05,5.19514588293906
"650","DGKELBDO_01143",0.629666666666663,15.0185583333333,8.94567555711186,2.50703820899518e-06,0.000101271963207805,5.12206580199937
"312","DGKELBDO_00607",-0.578866666666666,18.89855,-8.89852607047859,2.63782945142591e-06,0.000105079961076487,5.06935302318667
"3006","DGKELBDO_05148",0.519366666666663,18.9926833333333,8.87098706242039,2.71762048943411e-06,0.000105079961076487,5.03845698108616
"2851","DGKELBDO_04904",-0.717333333333331,15.377425,-8.86730394518131,2.72848820153812e-06,0.000105079961076487,5.03431884991415
"1154","DGKELBDO_02011",-0.551633333333335,16.725225,-8.85688252174706,2.75949385983916e-06,0.000105079961076487,5.02260222728189
"343","DGKELBDO_00647",4.09623333333333,12.84435,8.85608521920142,2.76188161753604e-06,0.000105079961076487,5.02170536327318
"380","DGKELBDO_00706",-0.924766666666665,15.9467666666667,-8.74937340235036,3.10254524443096e-06,0.000116684230342277,4.90106118187745
"321","DGKELBDO_00618",-0.93933333333333,17.4662916666667,-8.67823293296825,3.35473845884441e-06,0.000124735275424306,4.81995800436234
"330","DGKELBDO_00627",-0.649633333333332,14.4315083333333,-8.6386342149712,3.50464383447707e-06,0.000128677297470055,4.77457778494264
"630","DGKELBDO_01105",0.928533333333334,14.0055166666667,8.62971126340723,3.53941221647462e-06,0.000128677297470055,4.76432864286746
"384","DGKELBDO_00711",-1.2574,13.9913416666667,-8.6002755008857,3.65677696408935e-06,0.000131483233258246,4.73045665366583
"345","DGKELBDO_00651",-1.0963,14.2588,-8.56972523621309,3.78304553652954e-06,0.000134271546567851,4.69520244271008
"705","DGKELBDO_01271",-0.765166666666669,19.029775,-8.56183948570323,3.816397870052e-06,0.000134271546567851,4.68608594512199
"979","DGKELBDO_01721",2.95786666666667,16.0910333333333,8.5219205376618,3.99017800448875e-06,0.000138892153517949,4.63983222862809
"2845","DGKELBDO_04883",1.9184,12.812525,8.44916694152676,4.32928223747701e-06,0.000148695208801385,4.55508198957709
"587","DGKELBDO_01050",0.665800000000003,15.6850916666667,8.44233366476236,4.36269561275458e-06,0.000148695208801385,4.54709185089224
"381","DGKELBDO_00707",-0.753833333333333,15.7522916666667,-8.40480999262869,4.55121248996197e-06,0.00015216228633177,4.50312292250486
"1482","DGKELBDO_02606",0.724900000000005,16.2728416666667,8.40360157460148,4.55742789135496e-06,0.00015216228633177,4.5017043325209
"2890","DGKELBDO_04972",1.2084,18.6324583333333,8.36372803238659,4.76774323613358e-06,0.000157576321905344,4.45480427769463
"2071","DGKELBDO_03498",2.80733333333333,16.1566583333333,8.34515249892224,4.86927836268226e-06,0.000159322788026964,4.43289451434706
"1430","DGKELBDO_02538",0.777833333333332,15.3375416666667,8.26870772360121,5.31238451578979e-06,0.000171903213155252,4.34231879563685
"534","DGKELBDO_00965",0.896866666666668,15.7373833333333,8.25431280885335,5.40059337620647e-06,0.000171903213155252,4.32518891245697
"164","DGKELBDO_00250",0.901999999999997,16.3895583333333,8.25257017664307,5.41137865372585e-06,0.000171903213155252,4.3231135894597
"379","DGKELBDO_00705",-0.906733333333332,14.4083666666667,-8.23840385021759,5.49992260368063e-06,0.00017255344844415,4.30622990260309
"2217","DGKELBDO_03728",0.628200000000003,19.5525333333333,8.22558085932299,5.58141950444439e-06,0.00017255344844415,4.29092750592663
"1485","DGKELBDO_02611",1.3381,18.4648083333333,8.22423371073268,5.59005670387528e-06,0.00017255344844415,4.28931878860578
"1544","DGKELBDO_02697",-2.51003333333334,13.0043416666667,-8.15996234552179,6.01937075726531e-06,0.000184068982409085,4.21232679059948
"355","DGKELBDO_00666",-1.0057,15.4063166666667,-8.13638713614851,6.185654992978e-06,0.000187402436453926,4.1839665764061
"1103","DGKELBDO_01936",-0.516266666666667,17.8659666666667,-8.12316058130116,6.28111152248622e-06,0.000188016106392538,4.16802737610169
"367","DGKELBDO_00685",-0.916366666666665,16.6482833333333,-8.1085545087916,6.38837407868313e-06,0.000188016106392538,4.15040222808523
"1553","DGKELBDO_02710",0.719233333333332,13.790775,8.10363248511672,6.42496376804842e-06,0.000188016106392538,4.14445725736547
"295","DGKELBDO_00559",1.52696666666667,14.4248916666667,8.09317246194265,6.50347522087922e-06,0.000188016106392538,4.13181399501158
"1586","DGKELBDO_02750",0.970300000000002,16.6919333333333,8.08691067494481,6.55097010396905e-06,0.000188016106392538,4.12423915906997
"1962","DGKELBDO_03321",0.759033333333335,17.1852166666667,8.08062028538001,6.59905890711545e-06,0.000188016106392538,4.11662513753882
"2925","DGKELBDO_05016",1.37806666666667,18.6522083333333,8.07943723767257,6.60814554863749e-06,0.000188016106392538,4.11519263765854
"1987","DGKELBDO_03359",1.06766666666666,18.8423,8.04700152459846,6.86260776699136e-06,0.000192700908826528,4.07585420977347
"2986","DGKELBDO_05117",0.816333333333333,14.9714666666667,8.0363081483754,6.94879952695184e-06,0.000192700908826528,4.06285826212209
"1159","DGKELBDO_02017",0.623166666666663,18.6819916666667,8.03622396885021,6.94948265327943e-06,0.000192700908826528,4.06275590348933
"2810","DGKELBDO_04821",1.43323333333333,15.0044333333333,8.01184918214936,7.15036755353186e-06,0.000196605064160977,4.03308235243569
"348","DGKELBDO_00654",-0.686566666666671,16.6661583333333,-7.99630870743159,7.28170816672465e-06,0.000198547909346025,4.01412723558512
"2067","DGKELBDO_03493",2.65593333333334,14.76035,7.95301107077249,7.66155650213322e-06,0.000207178618801487,3.96116622668311
"364","DGKELBDO_00680",-0.666766666666669,15.5564583333333,-7.91428925495698,8.01939627694405e-06,0.000215077578837385,3.91361484066815
"2461","DGKELBDO_04124",0.940200000000001,13.962675,7.89419088953568,8.21220052166655e-06,0.00021845788704791,3.88886346638288
"2014","DGKELBDO_03413",1.8612,16.8031333333333,7.86462621143481,8.50495489335372e-06,0.000224421067831076,3.85236688607024
"359","DGKELBDO_00673",-0.951266666666667,16.1395416666667,-7.85558650277462,8.59669861103096e-06,0.000225027182842347,3.84118687073975
"1796","DGKELBDO_03062",3.11996666666667,12.75885,7.83580111165112,8.80124431931407e-06,0.0002285529477206,3.81668286646298
"2418","DGKELBDO_04059",-0.487866666666665,16.19815,-7.82617380301532,8.90266561028499e-06,0.000229366313990965,3.80474259579044
"3200","DGKELBDO_05515",1.06033333333333,14.7961333333333,7.81501403400156,9.02181003648554e-06,0.000230620019057662,3.79088778443308
"2100","DGKELBDO_03541",0.868933333333334,16.6668583333333,7.79655770727275,9.22264249090633e-06,0.000233926249846864,3.76794150530895
"3083","DGKELBDO_05275",1.29123333333333,12.561775,7.75341630422135,9.71112986178856e-06,0.000243476297090768,3.71414488599016
"626","DGKELBDO_01100",1.2235,18.479825,7.75025708856843,9.74798133217928e-06,0.000243476297090768,3.7101965656071
"2424","DGKELBDO_04078",0.648599999999998,17.9208583333333,7.73589790454204,9.91738714886881e-06,0.000245830990538627,3.6922355411072
"1065","DGKELBDO_01881",-0.43106666666667,17.334475,-7.72089492890156,1.00977827529921e-05,0.000248420640359325,3.67344254515401
"428","DGKELBDO_00783",0.516766666666669,17.9100166666667,7.70097729640035,1.03427550866148e-05,0.000252548467488088,3.64845113647984
"135","DGKELBDO_00205",-0.657899999999998,15.70075,-7.64915198931437,1.10106836704636e-05,0.00026358959755017,3.58319746736633
"2573","DGKELBDO_04318",0.684999999999999,16.4135583333333,7.64836233145802,1.1021213462652e-05,0.00026358959755017,3.58220066459398
"1809","DGKELBDO_03088",1.79456666666666,15.5516416666667,7.6472094634927,1.1036606009894e-05,0.00026358959755017,3.58074523648593
"165","DGKELBDO_00251",0.487299999999998,17.0157333333333,7.6027505091798,1.16482307263372e-05,0.000276181238670836,3.52449405660442
"1171","DGKELBDO_02035",0.479599999999998,16.0982583333333,7.57218568762903,1.20898401088272e-05,0.000281491369415591,3.48568122754715
"2919","DGKELBDO_05008",0.92973333333333,15.6182833333333,7.57084751955328,1.21095818794918e-05,0.000281491369415591,3.48397931731758
"1286","DGKELBDO_02275",0.745633333333334,17.7671666666667,7.56944690405259,1.21302821172367e-05,0.000281491369415591,3.48219774820842
"1005","DGKELBDO_01770",-0.889966666666666,15.775675,-7.56003490184934,1.22703780305258e-05,0.000282737161379439,3.47021948541149
"444","DGKELBDO_00810",-0.544066666666666,16.640525,-7.52391645670383,1.28243868742038e-05,0.000293436320646118,3.42415124274405
"1128","DGKELBDO_01967",0.67646666666667,18.6679333333333,7.50229448509774,1.31688827443906e-05,0.000299226280136431,3.39649543271724
"2224","DGKELBDO_03737",2.48483333333333,13.7228416666667,7.45927967564657,1.38842154613939e-05,0.000313304503377109,3.34130367094077
"2283","DGKELBDO_03832",0.458466666666666,18.3086833333333,7.40613059802624,1.48263753819414e-05,0.000332273289381591,3.27278892545556
"1386","DGKELBDO_02440",-0.969766666666668,15.5570166666667,-7.3652019489505,1.55987683835959e-05,0.000347205239123305,3.21978541467531
"2797","DGKELBDO_04805",1.0478,14.0601166666667,7.33886203738608,1.61186764445034e-05,0.000356353441394697,3.18556270493239
"3129","DGKELBDO_05388",0.725300000000002,15.3728416666667,7.33271140834198,1.62427461467313e-05,0.000356686344913455,3.17755870592951
"2380","DGKELBDO_03995",-0.423633333333331,17.3679416666667,-7.29570151335458,1.70113355752117e-05,0.000371073933347285,3.12929517155394
"1093","DGKELBDO_01923;DGKELBDO_03404;DGKELBDO_04588",2.67046666666666,12.1650166666667,7.28895402924752,1.71556319069493e-05,0.000371743229136014,3.12047718843394
"1346","DGKELBDO_02373",-0.420066666666667,17.1283083333333,-7.26804789602055,1.76111363089534e-05,0.000379102881597996,3.09311903777932
"2138","DGKELBDO_03592",-0.577166666666663,18.6982833333333,-7.25493292759501,1.79035149512049e-05,0.000382877783793088,3.07592805454137
"1679","DGKELBDO_02888",1.79056666666666,17.061175,7.24260194098323,1.81831822881355e-05,0.000385643016988404,3.05974463635711
"1427","DGKELBDO_02535",2.25853333333333,12.75065,7.23887891396141,1.82685414526903e-05,0.000385643016988404,3.05485463857631
"3004","DGKELBDO_05142",-2.23833333333334,15.577075,-7.22092386479512,1.86862983377656e-05,0.000391933129238262,3.03124668347117
"1508","DGKELBDO_02645",1.02173333333334,16.250975,7.2114779989262,1.89101878958943e-05,0.000394102769397236,3.01881030190223
"3180","DGKELBDO_05488",-0.516466666666666,18.2168,-7.19549068262701,1.92957255512068e-05,0.00039830594316638,2.99773534160715
"2510","DGKELBDO_04212",0.558866666666669,15.5936333333333,7.1912908229752,1.93984021221252e-05,0.00039830594316638,2.99219350504368
"111","DGKELBDO_00173",0.368933333333331,16.7356083333333,7.18791492781914,1.94813606500594e-05,0.00039830594316638,2.9877372665098
"1972","DGKELBDO_03336",0.720399999999996,15.355825,7.183162423295,1.95987948807418e-05,0.00039830594316638,2.98146139156416
