seq_id	source_tag	primary_tag	start	end	score	strand	frame	Alias	Dbxref	eC_number	gene	ID	Name	note	Ontology_term	Parent	product	score.1	log2FC_2mM_vs_C	padj_2mM_vs_C	log2FC_12mM_vs_2mM	padj_12mM_vs_2mM	log2FC_12mM_vs_C	padj_12mM_vs_C	log2FC_24mM_vs_2mM	padj_24mM_vs_2mM	log2FC_24mM_vs_12mM	padj_24mM_vs_12mM	log2FC_24mM_vs_C	padj_24mM_vs_C
Chrooco029_1	PROKKA	gene	21	419	.	-1	.					DGKELBDO_00001																		
Chrooco029_1	PROKKA	mRNA	21	419	.	-1	.		InterPro:IPR053164, PFAM:PF12762, InterPro:IPR024445			DGKELBDO_00001-T1		COG:L, EggNog:ENOG501GBBG		DGKELBDO_00001	hypothetical protein													
Chrooco029_1	PROKKA	exon	21	419	.	-1	.					DGKELBDO_00001-T1.exon1				DGKELBDO_00001-T1														
Chrooco029_1	PROKKA	CDS	21	419	.	-1	0					DGKELBDO_00001-T1.cds				DGKELBDO_00001-T1														
Chrooco029_1	PROKKA	gene	473	826	.	-1	.					DGKELBDO_00002																		
Chrooco029_1	PROKKA	mRNA	473	826	.	-1	.					DGKELBDO_00002-T1		COG:L, EggNog:ENOG501R7ZF		DGKELBDO_00002	hypothetical protein													
Chrooco029_1	PROKKA	exon	473	826	.	-1	.					DGKELBDO_00002-T1.exon1				DGKELBDO_00002-T1														
Chrooco029_1	PROKKA	CDS	473	826	.	-1	0					DGKELBDO_00002-T1.cds				DGKELBDO_00002-T1														
Chrooco029_1	PROKKA	gene	1259	2209	.	1	.	ydbD				DGKELBDO_00003	ydbD_1						0.510200000000001	0.000712146316517	0.824199999999994	0.000133833460403	1.3344	3.93702606409413E-07	1.63889999999999	5.19026376648743E-07	0.814699999999998	0.000713297867268	2.14909999999999	1.34652613913368E-08
Chrooco029_1	PROKKA	mRNA	1259	2209	.	1	.	ydbD	InterPro:IPR007760, InterPro:IPR012347, InterPro:IPR039377, InterPro:IPR009078, PFAM:PF05067	1.11.1.6		DGKELBDO_00003-T1		COG3546, UniProtKB:P80878, COG:P, EggNog:ENOG501G1IC, KEGG:K07217		DGKELBDO_00003	putative manganese catalase													
